#mission_id	user_id	place_id	date	duration	mode	co2
0	299	55	2013-03-20	10	car	0.20033
1	157	183	2013-03-08	16	other	0.01214
2	491	191	2013-03-28	18	train	0.01214
3	490	297	2013-03-17	75	other	0.14678
4	340	90	2013-03-19	14	train	0.01214
5	169	250	2013-03-26	38	plane	0.14678
6	209	90	2013-03-19	18	train	0.01214
7	176	250	2013-03-26	34	plane	0.14678
8	176	191	2013-03-20	30	train	0.01214
9	490	191	2013-03-22	15	train	0.01214
10	409	191	2013-04-29	89	plane	0.16508
11	409	191	2013-03-22	13	other	0.01214
12	327	384	2013-06-09	108	other	0.14678
13	327	191	2013-04-28	102	other	0.01214
14	157	98	2013-04-02	87	car	0.20033
15	39	528	2013-06-22	203	plane	0.13712
16	371	261	2013-04-15	30	other	0.14678
17	371	191	2013-04-28	17692	train	0.01214
18	356	191	2013-04-28	100	train	0.01214
19	409	191	2013-04-15	11	other	0.01214
20	409	207	2013-04-16	17	other	0.01214
21	411	268	2013-04-02	57	other	0.01214
22	411	55	2013-03-25	12	car	0.20033
23	411	237	2013-04-22	14	plane	0.16508
24	409	191	2013-04-11	16	other	0.01214
25	56	180	2013-03-28	13	other	0.01214
26	490	191	2013-03-28	18	train	0.01214
27	340	191	2013-04-27	110	train	0.01214
28	39	191	2013-04-29	72	train	0.01214
29	39	125	2013-05-03	55	train	0.01214
30	463	98	2013-04-02	89	car	0.20033
31	39	191	2013-03-26	24	other	0.01214
32	496	191	2013-04-29	87	train	0.01214
33	491	191	2013-04-26	146	train	0.01214
34	144	20	2013-03-29	6	car	0.20033
35	340	191	2013-04-17	41	train	0.01214
36	380	191	2013-04-28	100	other	0.01214
37	15	191	2013-04-26	147	train	0.01214
38	77	191	2013-04-28	100	train	0.01214
39	326	138	2013-05-21	15	other	0.01214
40	326	138	2013-05-29	31	other	0.01214
41	157	403	2013-05-21	76	plane	0.14678
42	176	191	2013-04-19	15	train	0.01214
43	490	191	2013-04-19	15	train	0.01214
44	176	191	2013-05-28	79	train	0.01214
45	74	191	2013-04-24	16	train	0.01214
46	411	261	2013-07-09	83	train	0.01214
47	144	191	2013-04-29	36	train	0.01214
48	496	401	2013-06-09	82	plane	0.14678
49	419	401	2013-06-09	82	plane	0.14678
50	380	401	2013-06-09	82	plane	0.14678
51	176	191	2013-05-21	53	train	0.01214
52	91	401	2013-06-09	82	plane	0.14678
53	169	297	2013-05-19	128	plane	0.14678
54	169	191	2013-05-29	64	train	0.01214
55	144	20	2013-04-24	6	car	0.20033
56	173	191	2013-04-26	193	train	0.01214
57	56	125	2013-05-21	17	other	0.01214
58	56	88	2013-05-29	16	other	0.01214
59	371	135	2013-05-21	33	other	0.01214
60	326	235	2013-05-26	42	other	0.01214
61	409	207	2013-05-15	50	other	0.01214
62	409	191	2013-05-21	74	other	0.01214
63	409	181	2013-05-07	13	other	0.01214
64	409	138	2013-05-14	15	plane	0.16508
65	409	153	2013-05-29	17	other	0.01214
66	356	313	2013-06-24	155	plane	0.14678
67	134	261	2013-05-26	272	other	0.14678
68	409	138	2013-06-11	14	other	0.01214
69	93	191	2013-05-29	105	train	0.01214
70	134	223	2013-05-23	31	other	0.01214
71	232	191	2013-05-29	63	train	0.01214
72	371	384	2013-06-09	109	plane	0.14678
73	411	53	2013-05-31	12	car	0.20033
74	491	55	2013-06-17	79	train	0.01214
75	74	55	2013-06-17	84	train	0.01214
76	490	160	2013-05-29	52	plane	0.16508
77	340	160	2013-05-29	49	plane	0.16508
78	56	341	2013-06-16	106	plane	0.14678
79	490	261	2013-06-18	41	other	0.14678
80	365	191	2013-05-29	65	train	0.01214
81	93	53	2013-06-04	28	train	0.01214
82	289	436	2013-06-11	86	plane	0.14678
83	289	138	2013-07-10	15	other	0.01214
84	48	341	2013-06-16	105	plane	0.14678
85	444	341	2013-06-16	106	plane	0.14678
86	409	143	2013-06-04	126	train	0.01214
87	300	191	2013-06-20	9	train	0.01214
88	356	437	2013-06-09	172	plane	0.14678
89	1	253	2013-06-16	78	train	0.01214
90	76	319	2013-08-25	144	plane	0.14678
91	415	620	2013-06-24	1666	other	0.13712
92	415	519	2013-08-24	180	other	0.13712
93	371	226	2013-07-09	48	plane	0.14678
94	490	226	2013-07-09	53	plane	0.14678
95	303	56	2013-06-17	82	car	0.20033
96	490	135	2013-06-16	34	other	0.01214
97	490	89	2013-06-28	18	other	0.01214
98	91	191	2013-06-19	16	other	0.01214
99	409	313	2013-06-24	60	plane	0.14678
100	157	138	2013-07-12	13	other	0.01214
101	347	191	2013-06-20	12	train	0.01214
102	463	262	2013-06-30	33	train	0.01214
103	255	262	2013-06-30	34	train	0.01214
104	233	212	2013-08-26	114	other	0.14678
105	97	262	2013-06-30	35	train	0.01214
106	56	185	2013-07-03	16	train	0.01214
107	463	55	2013-07-03	8	train	0.01214
108	463	382	2013-07-28	111	plane	0.14678
109	299	55	2013-07-01	6	other	0.20033
110	91	53	2013-07-01	7	car	0.20033
111	326	191	2013-07-02	15	train	0.01214
112	468	319	2013-07-28	104	plane	0.14678
113	468	376	2013-08-11	168	car	0.20033
114	468	358	2013-08-18	111	car	0.20033
115	340	55	2013-07-11	10	train	0.01214
116	209	55	2013-07-11	12	train	0.01214
117	372	346	2013-07-26	103	plane	0.14678
118	328	346	2013-07-26	104	plane	0.14678
119	233	53	2013-07-05	12	other	0.20033
120	10	512	2013-08-24	168	plane	0.13712
121	289	191	2013-07-11	16	train	0.01214
122	393	191	2013-07-21	130	train	0.01214
123	93	446	2013-09-10	119	plane	0.13712
